Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.89,0.916,0.89,0.89,0.871
GB,0.553,0.497,0.553,0.492,0.474
AB,0.276,0.171,0.276,0.205,0.114
CB,0.889,0.921,0.889,0.889,0.87
XGBoost,0.889,0.912,0.889,0.888,0.868
LGBM,0.729,0.808,0.729,0.734,0.679
