Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.823,0.856,0.823,0.82,0.786
GB,0.828,0.86,0.828,0.825,0.792
AB,0.595,0.545,0.595,0.562,0.498
CB,0.789,0.836,0.789,0.791,0.745
XGBoost,0.665,0.779,0.665,0.663,0.601
LGBM,0.702,0.756,0.702,0.636,0.65
