Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.555,0.532,0.555,0.474,0.479
GB,0.662,0.555,0.662,0.596,0.601
AB,0.281,0.328,0.281,0.244,0.114
CB,0.494,0.299,0.494,0.372,0.403
LGBM,0.505,0.323,0.505,0.384,0.417
