Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.861,0.889,0.861,0.856,0.833
GB,0.851,0.869,0.851,0.844,0.82
CB,0.807,0.86,0.807,0.809,0.769
XGBoost,0.853,0.878,0.853,0.856,0.821
LGBM,0.672,0.709,0.672,0.666,0.6
RF,0.8,0.832,0.8,0.795,0.758
