Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.83,0.855,0.83,0.825,0.794
GB,0.799,0.839,0.799,0.8,0.757
CB,0.77,0.821,0.77,0.772,0.721
XGBoost,0.735,0.76,0.735,0.724,0.68
LGBM,0.716,0.79,0.716,0.723,0.656
RF,0.686,0.774,0.686,0.669,0.63
