Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.829,0.861,0.829,0.827,0.793
GB,0.836,0.856,0.836,0.83,0.802
AB,0.586,0.532,0.586,0.551,0.487
CB,0.814,0.849,0.814,0.812,0.776
XGBoost,0.778,0.829,0.778,0.779,0.732
LGBM,0.739,0.794,0.739,0.701,0.69
RF,0.827,0.855,0.827,0.822,0.79
