Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.99,0.991,0.99,0.99,0.964
GB,0.962,0.968,0.962,0.963,0.872
AB,0.326,0.752,0.326,0.418,0.137
CB,0.984,0.985,0.984,0.984,0.941
