Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.809,0.838,0.809,0.81,0.767
GB,0.734,0.777,0.734,0.704,0.685
AB,0.583,0.532,0.582,0.55,0.482
CB,0.657,0.819,0.658,0.623,0.613
LGBM,0.77,0.831,0.77,0.742,0.731
