Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.987,0.987,0.987,0.986,0.948
GB,0.982,0.982,0.982,0.982,0.93
AB,0.433,0.627,0.433,0.512,-0.169
CB,0.991,0.991,0.991,0.991,0.967
