Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.84,0.861,0.84,0.833,0.807
GB,0.908,0.919,0.908,0.908,0.888
AB,0.554,0.486,0.554,0.513,0.447
CB,0.777,0.817,0.777,0.774,0.731
XGBoost,0.604,0.756,0.604,0.572,0.535
LGBM,0.735,0.773,0.735,0.667,0.691
