Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.789,0.837,0.789,0.791,0.746
GB,0.56,0.503,0.56,0.498,0.482
CB,0.891,0.908,0.891,0.893,0.869
XGBoost,0.87,0.892,0.87,0.869,0.844
LGBM,0.314,0.224,0.314,0.23,0.225
RF,0.8,0.839,0.8,0.798,0.759
