iter	MultiClass
0	0.4016300348
1	0.2515508386
2	0.1738877139
3	0.1298272553
4	0.0974805637
5	0.08110529023
6	0.06914711055
7	0.05895887819
8	0.05225877298
9	0.04898074783
10	0.04462185767
11	0.04103336769
12	0.0383468226
13	0.03598892903
14	0.03355391133
15	0.03154779535
16	0.03006128994
17	0.02886509442
18	0.02839972602
19	0.02730411117
20	0.02642019014
21	0.02526035644
22	0.02458714647
23	0.02390212677
24	0.02304307319
25	0.02239157475
26	0.02194367367
27	0.02132256453
28	0.02062995953
29	0.01990873685
30	0.01974244162
31	0.01918042204
32	0.01887951885
33	0.01822587812
34	0.01798569909
35	0.01761153725
36	0.01711394231
37	0.01696935271
38	0.01651455529
39	0.01618124304
40	0.01602087178
41	0.01570688599
42	0.01544774452
43	0.01518268154
44	0.01505307187
45	0.01497566081
46	0.01478695987
47	0.01469548599
48	0.01443453727
49	0.01430916993
50	0.01422577079
51	0.01400291499
52	0.0136479323
53	0.01361885902
54	0.01338747519
55	0.01327890943
56	0.01304198562
57	0.0129420908
58	0.01282585389
59	0.01271131313
60	0.01261008387
61	0.01245946824
62	0.0122676299
63	0.01213113014
64	0.01201465957
65	0.01198693018
66	0.01186655448
67	0.01171232296
68	0.01154659231
69	0.01145433691
70	0.01132058315
71	0.01118391284
72	0.01107177868
73	0.0110379271
74	0.01090865943
75	0.01087628234
76	0.01076917542
77	0.01076068648
78	0.01071501912
79	0.01069218466
80	0.01057509268
81	0.01045260093
82	0.01040435605
83	0.01030888085
84	0.01025677832
85	0.01016059589
86	0.01014204878
87	0.0100811161
88	0.009997075493
89	0.00996777397
90	0.009871691865
91	0.00984307262
92	0.009738266924
93	0.009715558461
94	0.009614385379
95	0.009568337327
96	0.009489898486
97	0.009361148828
98	0.009316800215
99	0.009256046141
