Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.723,0.615,0.723,0.651,0.683
GB,0.73,0.621,0.73,0.66,0.692
AB,0.26,0.306,0.26,0.222,0.084
CB,0.724,0.61,0.724,0.652,0.682
