Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.986,0.987,0.986,0.986,0.95
GB,0.937,0.957,0.937,0.943,0.808
AB,0.324,0.75,0.324,0.414,0.136
CB,0.983,0.984,0.983,0.983,0.937
LGBM,0.985,0.986,0.985,0.985,0.946
