Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.975,0.978,0.975,0.975,0.913
GB,0.93,0.952,0.93,0.935,0.794
AB,0.157,0.835,0.157,0.082,0.187
CB,0.966,0.972,0.966,0.968,0.887
