Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.981,0.983,0.981,0.982,0.933
GB,0.943,0.957,0.943,0.946,0.82
AB,0.326,0.751,0.326,0.419,0.136
CB,0.982,0.983,0.982,0.982,0.934
LGBM,0.986,0.987,0.986,0.986,0.948
