Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.993,0.994,0.993,0.993,0.975
GB,0.959,0.966,0.959,0.961,0.864
AB,0.324,0.751,0.324,0.414,0.138
CB,0.99,0.99,0.99,0.99,0.962
LGBM,0.993,0.993,0.993,0.993,0.972
