Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.993,0.993,0.993,0.993,0.972
GB,0.973,0.973,0.973,0.973,0.896
AB,0.433,0.627,0.433,0.512,-0.17
CB,0.991,0.991,0.991,0.991,0.967
LGBM,0.992,0.992,0.992,0.992,0.971
