Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.992,0.993,0.992,0.992,0.972
GB,0.96,0.967,0.96,0.962,0.867
AB,0.324,0.751,0.324,0.414,0.138
CB,0.991,0.991,0.991,0.991,0.966
LGBM,0.993,0.993,0.993,0.993,0.973
