Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.846,0.866,0.846,0.841,0.813
GB,0.916,0.925,0.916,0.917,0.897
AB,0.553,0.484,0.553,0.512,0.446
CB,0.714,0.836,0.714,0.711,0.672
XGBoost,0.609,0.749,0.609,0.571,0.539
LGBM,0.729,0.777,0.729,0.661,0.683
