Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.722,0.613,0.722,0.651,0.681
GB,0.715,0.604,0.715,0.645,0.671
AB,0.456,0.417,0.456,0.358,0.359
CB,0.697,0.59,0.697,0.629,0.647
LGBM,0.671,0.596,0.671,0.604,0.623
