Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.814,0.849,0.814,0.811,0.775
GB,0.83,0.863,0.83,0.828,0.795
AB,0.596,0.546,0.596,0.563,0.499
CB,0.763,0.804,0.763,0.759,0.715
XGBoost,0.678,0.794,0.678,0.676,0.619
LGBM,0.733,0.799,0.733,0.694,0.687
