Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.982,0.981,0.982,0.981,0.929
GB,0.949,0.947,0.949,0.947,0.795
AB,0.433,0.628,0.433,0.512,-0.167
CB,0.973,0.973,0.973,0.973,0.896
LGBM,0.981,0.981,0.981,0.981,0.928
