Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.983,0.983,0.983,0.983,0.935
GB,0.955,0.954,0.955,0.954,0.822
AB,0.324,0.578,0.324,0.415,-0.236
CB,0.978,0.978,0.978,0.978,0.917
LGBM,0.983,0.983,0.983,0.983,0.934
