Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.99,0.99,0.99,0.99,0.964
GB,0.966,0.966,0.966,0.966,0.871
AB,0.324,0.577,0.324,0.415,-0.239
CB,0.989,0.989,0.989,0.989,0.957
LGBM,0.992,0.992,0.992,0.992,0.968
