Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.976,0.979,0.976,0.977,0.916
GB,0.961,0.967,0.961,0.962,0.869
AB,0.324,0.751,0.324,0.414,0.138
CB,0.99,0.991,0.99,0.99,0.964
