Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.777,0.829,0.778,0.782,0.732
GB,0.787,0.849,0.788,0.783,0.75
AB,0.08,0.029,0.08,0.041,-0.182
CB,0.82,0.854,0.82,0.821,0.783
LGBM,0.637,0.732,0.637,0.614,0.565
