Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.785,0.804,0.785,0.776,0.738
GB,0.827,0.854,0.827,0.823,0.79
CB,0.8,0.84,0.8,0.796,0.758
XGBoost,0.761,0.783,0.761,0.752,0.709
LGBM,0.771,0.811,0.771,0.77,0.721
RF,0.725,0.798,0.725,0.713,0.675
