Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.994,0.994,0.994,0.994,0.976
GB,0.962,0.968,0.962,0.963,0.873
AB,0.324,0.751,0.324,0.414,0.138
CB,0.982,0.983,0.982,0.982,0.935
LGBM,0.987,0.988,0.987,0.987,0.952
