Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.88,0.895,0.88,0.881,0.854
GB,0.794,0.832,0.794,0.794,0.75
CB,0.933,0.944,0.933,0.934,0.919
XGBoost,0.92,0.934,0.92,0.92,0.904
LGBM,0.323,0.219,0.323,0.234,0.235
RF,0.815,0.851,0.815,0.813,0.777
