Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.586,0.549,0.586,0.534,0.518
GB,0.553,0.497,0.553,0.492,0.474
AB,0.276,0.171,0.276,0.205,0.114
LGBM,0.729,0.808,0.729,0.734,0.679
