Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.577,0.545,0.577,0.502,0.507
GB,0.682,0.591,0.682,0.62,0.632
AB,0.253,0.31,0.253,0.223,0.074
CB,0.541,0.53,0.541,0.457,0.463
LGBM,0.476,0.294,0.476,0.362,0.379
