Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.823,0.858,0.823,0.821,0.787
GB,0.829,0.861,0.829,0.826,0.793
AB,0.596,0.546,0.596,0.563,0.499
CB,0.788,0.834,0.788,0.789,0.744
XGBoost,0.675,0.793,0.675,0.673,0.616
LGBM,0.704,0.775,0.704,0.637,0.653
