Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.745,0.795,0.745,0.706,0.697
GB,0.923,0.93,0.923,0.923,0.905
AB,0.551,0.483,0.551,0.511,0.444
CB,0.798,0.837,0.798,0.797,0.756
XGBoost,0.601,0.742,0.601,0.565,0.528
LGBM,0.729,0.768,0.729,0.661,0.684
