Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.83,0.86,0.83,0.826,0.795
GB,0.83,0.86,0.83,0.826,0.795
AB,0.592,0.54,0.592,0.558,0.495
CB,0.828,0.86,0.828,0.825,0.792
XGBoost,0.661,0.781,0.661,0.655,0.599
LGBM,0.76,0.78,0.76,0.761,0.704
