Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.839,0.861,0.839,0.831,0.806
GB,0.918,0.926,0.918,0.918,0.9
AB,0.552,0.484,0.552,0.511,0.445
CB,0.806,0.84,0.806,0.804,0.765
XGBoost,0.606,0.746,0.606,0.57,0.535
LGBM,0.733,0.774,0.733,0.668,0.688
