Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.994,0.994,0.994,0.994,0.977
GB,0.961,0.967,0.961,0.962,0.869
AB,0.324,0.751,0.324,0.414,0.138
CB,0.981,0.983,0.981,0.982,0.933
LGBM,0.987,0.987,0.987,0.987,0.951
