Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.994,0.994,0.994,0.994,0.977
GB,0.982,0.982,0.982,0.982,0.93
AB,0.433,0.627,0.433,0.512,-0.169
CB,0.994,0.994,0.994,0.994,0.979
LGBM,0.98,0.988,0.98,0.983,0.926
