Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.896,0.902,0.896,0.895,0.872
GB,0.732,0.775,0.732,0.702,0.682
AB,0.576,0.523,0.576,0.542,0.474
CB,0.901,0.907,0.901,0.901,0.877
LGBM,0.75,0.771,0.75,0.708,0.704
