Model,Accuracy,Precision,Recall,F1 Score,MCC
Proposed Model,0.984,0.985,0.984,0.984,0.943
GB,0.93,0.952,0.93,0.935,0.794
AB,0.157,0.835,0.157,0.082,0.187
CB,0.98,0.982,0.98,0.981,0.931
LGBM,0.98,0.982,0.98,0.98,0.929
